Ranking,District,State,Population,Growth,Sex_Ratio,Literacy,Store_Score
206,Mau,Uttar Pradesh,2205968,18.98,979,73.09,0.338
207,Chandrapur,Maharashtra,2204307,6.43,961,80.01,0.347
208,Jalandhar,Punjab,2193590,11.76,915,82.48,0.369
209,Dhar,Madhya Pradesh,2185793,25.6,964,59.0,0.282
210,Bijapur,Karnataka,2177331,20.5,960,67.15,0.312
211,Jamnagar,Gujarat,2160119,13.44,939,73.65,0.329
212,Dindigul,Tamil Nadu,2159775,12.31,998,76.26,0.339
213,Balrampur,Uttar Pradesh,2148665,27.72,928,49.51,0.239
214,Jhunjhunun,Rajasthan,2137045,11.67,950,74.13,0.327
215,Alappuzha,Kerala,2127789,0.88,1100,95.72,0.41
216,Dohad,Gujarat,2127086,29.98,990,58.82,0.288
217,Sundargarh,Orissa,2093437,14.35,973,73.34,0.326
218,Anand,Gujarat,2092745,12.7,925,84.37,0.377
219,Kachchh,Gujarat,2092371,32.16,908,70.59,0.348
220,Chhindwara,Madhya Pradesh,2090922,13.07,964,71.16,0.313
221,Dakshina Kannada,Karnataka,2089649,10.11,1020,88.57,0.392
222,Bokaro,Jharkhand,2062330,16.01,922,72.01,0.322
223,Dhule,Maharashtra,2050862,20.08,946,72.8,0.334
224,Churu,Rajasthan,2039547,6.01,940,66.75,0.276
225,Pali,Rajasthan,2037573,11.94,987,62.39,0.267
226,Mahesana,Gujarat,2035064,10.73,926,83.61,0.367
227,Banka,Bihar,2034763,26.48,907,58.17,0.274
228,Gwalior,Madhya Pradesh,2032036,24.5,864,76.65,0.36
229,Pilibhit,Uttar Pradesh,2031007,23.45,895,61.47,0.284
230,Firozpur,Punjab,2029074,16.21,893,68.92,0.306
231,Madhepura,Bihar,2001762,31.12,911,52.25,0.254
232,Jhansi,Uttar Pradesh,1998603,14.54,890,75.05,0.332
233,Ujjain,Madhya Pradesh,1986864,16.12,955,72.34,0.321
234,Kottayam,Kerala,1974551,1.07,1039,97.21,0.412
235,Ganganagar,Rajasthan,1969168,10.04,887,69.64,0.296
236,Morena,Madhya Pradesh,1965970,23.44,840,71.03,0.328
237,Jalna,Maharashtra,1959046,21.46,937,71.52,0.327
238,Chandauli,Uttar Pradesh,1952756,18.83,918,71.48,0.321
239,Kota,Rajasthan,1951014,24.39,911,76.56,0.357
240,Dhubri,Assam,1949258,24.44,953,58.34,0.268
241,Davanagere,Karnataka,1945497,8.63,972,75.74,0.322
242,Virudhunagar,Tamil Nadu,1942288,10.91,1007,80.15,0.347
243,Palamu,Jharkhand,1939869,26.17,928,63.63,0.297
244,Raichur,Karnataka,1928812,15.51,1000,59.56,0.256
245,Sonitpur,Assam,1924110,15.55,956,67.34,0.294
246,Saharsa,Bihar,1900661,26.02,906,53.2,0.245
247,Patiala,Punjab,1895686,19.62,891,75.28,0.339
248,Haridwar,Uttarakhand,1890422,30.63,880,73.43,0.351
249,Bagalkot,Karnataka,1889752,14.4,989,68.82,0.297
250,Farrukhabad,Uttar Pradesh,1885204,20.05,874,69.04,0.309
251,Krishnagiri,Tamil Nadu,1879809,20.41,958,71.46,0.321
252,West Nimar,Madhya Pradesh,1873046,22.85,965,62.7,0.283
253,Kanniyakumari,Tamil Nadu,1870374,11.6,1019,91.75,0.402
254,Mainpuri,Uttar Pradesh,1868529,17.02,881,75.99,0.336
255,Sonbhadra,Uttar Pradesh,1862559,27.27,918,64.03,0.298
256,Dharwad,Karnataka,1847023,15.13,971,80.0,0.351
257,Darjiling,West Bengal,1846823,14.77,970,79.56,0.349
258,Jyotiba Phule Nagar,Uttar Pradesh,1840221,22.76,910,63.84,0.288
259,Parbhani,Maharashtra,1836086,20.19,947,73.34,0.329
260,Jalor,Rajasthan,1828730,26.21,952,54.86,0.25
261,Jajapur,Orissa,1827192,12.49,973,80.13,0.346
262,Akola,Maharashtra,1813906,11.27,946,88.05,0.382
263,Faridabad,Haryana,1809733,32.54,873,81.7,0.392
264,Mandya,Karnataka,1805769,2.38,995,70.4,0.278
265,Kendujhar,Orissa,1801733,15.35,988,68.24,0.293
266,Banda,Uttar Pradesh,1799410,17.05,863,66.67,0.289
267,Banswara,Rajasthan,1797485,26.53,980,56.33,0.257
268,Ramabai Nagar,Uttar Pradesh,1796184,14.89,865,75.78,0.329
269,Hassan,Karnataka,1776421,3.18,1010,76.07,0.306
270,Hanumangarh,Rajasthan,1774692,16.91,906,67.13,0.29
271,Etah,Uttar Pradesh,1774480,13.62,873,70.81,0.301
272,Chhattarpur,Madhya Pradesh,1762375,19.51,883,63.74,0.278
273,Jamui,Bihar,1760405,25.85,922,59.79,0.271
274,Surendranagar,Gujarat,1756268,15.91,930,72.13,0.311
275,Shimoga,Karnataka,1752753,6.71,998,80.45,0.334
276,Thoothukkudi,Tamil Nadu,1750176,11.32,1023,86.16,0.37
277,Hisar,Haryana,1743931,13.45,872,72.89,0.31
278,Cachar,Assam,1736617,20.19,959,79.34,0.354
279,Hazaribagh,Jharkhand,1734495,20.65,947,69.75,0.308
280,Namakkal,Tamil Nadu,1726601,15.61,986,74.63,0.322
281,Shivpuri,Madhya Pradesh,1726050,22.76,877,62.55,0.277
282,West Tripura,Tripura,1725739,12.57,962,88.69,0.384
283,Sant Kabir Nagar,Uttar Pradesh,1715183,20.77,972,66.72,0.293
284,East Delhi,Delhi,1709346,16.79,884,89.31,0.395
285,Buxar,Bihar,1706352,21.67,922,70.14,0.311
286,Valsad,Gujarat,1705678,20.92,922,78.55,0.351
287,Bidar,Karnataka,1703300,13.37,956,70.51,0.297
288,Bhind,Madhya Pradesh,1703005,19.21,837,75.26,0.331
289,Balaghat,Madhya Pradesh,1701698,13.6,1021,77.09,0.329
290,Puri,Orissa,1698730,13.05,963,84.67,0.365
291,Dehradun,Uttarakhand,1696694,32.33,902,84.25,0.4
292,Barpeta,Assam,1693622,21.43,953,63.81,0.28
293,Kishanganj,Bihar,1690400,30.4,950,55.46,0.257
294,Jalaun,Uttar Pradesh,1689974,16.19,865,73.75,0.317
295,Dakshin Dinajpur,West Bengal,1676276,11.52,956,72.82,0.303
296,Khagaria,Bihar,1666886,30.19,886,57.92,0.267
297,Chitradurga,Karnataka,1659456,9.33,974,73.71,0.303
298,Osmanabad,Maharashtra,1657576,11.5,924,78.44,0.33
299,Kannauj,Uttar Pradesh,1656616,19.27,879,72.7,0.317
300,Sangrur,Punjab,1655169,12.35,885,67.99,0.281
301,Balangir,Orissa,1648997,23.32,987,64.72,0.286
302,Udham Singh Nagar,Uttarakhand,1648902,33.45,920,73.1,0.347
303,Nandurbar,Maharashtra,1648295,25.66,978,64.38,0.289
304,Gautam Buddha Nagar,Uttar Pradesh,1648115,37.11,851,80.12,0.388
305,Bhiwani,Haryana,1634445,14.7,886,75.21,0.32
306,Dausa,Rajasthan,1634409,24.09,905,68.16,0.304
307,Kaimur,Bihar,1626384,26.17,920,69.34,0.313
308,Janjgir Champa,Chhattisgarh,1619707,22.94,986,73.07,0.325
309,Pudukkottai,Tamil Nadu,1618345,10.88,1015,77.19,0.321
310,Nagapattinam,Tamil Nadu,1616450,8.57,1025,83.59,0.348
311,Ratnagiri,Maharashtra,1615069,-4.82,1122,82.18,0.315
312,Kaushambi,Uttar Pradesh,1599596,23.7,908,61.28,0.268
313,Haveri,Karnataka,1597668,11.02,950,77.4,0.322
314,Hoshiarpur,Punjab,1586625,7.11,961,84.59,0.349
315,Etawah,Uttar Pradesh,1581810,18.15,870,78.41,0.34
316,Sant Ravidas Nagar,Uttar Pradesh,1578213,16.58,955,68.97,0.291
317,Kalahandi,Orissa,1576869,18.07,1003,59.22,0.247
318,Betul,Madhya Pradesh,1575362,12.92,971,68.9,0.283
319,Mahamaya Nagar,Uttar Pradesh,1564708,17.12,871,71.59,0.304
320,Dewas,Madhya Pradesh,1563715,19.53,942,69.35,0.298
321,Bharuch,Gujarat,1551019,13.16,925,81.51,0.344
322,Rajgarh,Madhya Pradesh,1545814,23.26,956,61.21,0.265
323,Chittaurgarh,Rajasthan,1544338,16.08,972,61.71,0.254
324,Rajnandgaon,Chhattisgarh,1537133,19.79,1015,75.96,0.33
325,Kolar,Karnataka,1536401,10.77,979,74.39,0.304
326,Jammu,Jammu and Kashmir,1529958,12.74,880,83.45,0.352
327,Kamrup,Assam,1517542,15.69,949,75.55,0.319
328,Gurgaon,Haryana,1514432,73.96,854,84.7,0.477
329,Amreli,Gujarat,1514190,8.63,964,74.25,0.299
330,Shajapur,Madhya Pradesh,1512681,17.2,938,69.09,0.29
331,Kangra,Himachal Pradesh,1510075,12.77,1012,85.67,0.362
332,Dharmapuri,Tamil Nadu,1506843,16.34,946,68.54,0.286
333,Bhadrak,Orissa,1506337,12.94,981,82.78,0.348
334,Karnal,Haryana,1505324,18.14,887,74.73,0.319
335,Pashchimi Singhbhum,Jharkhand,1502338,21.75,1005,58.63,0.248
336,Raigarh,Chhattisgarh,1493984,18.05,991,73.26,0.312
337,Deoghar,Jharkhand,1492073,28.03,925,64.85,0.29
338,Bargarh,Orissa,1481255,10.02,977,74.62,0.302
339,Vidisha,Madhya Pradesh,1458875,20.09,896,70.53,0.301
340,Karauli,Rajasthan,1458248,20.55,861,66.22,0.281
341,Ratlam,Madhya Pradesh,1455069,19.72,971,66.78,0.282
342,Sonipat,Haryana,1450001,13.35,856,79.12,0.329
343,Tikamgarh,Madhya Pradesh,1445166,20.13,901,61.43,0.257
344,Kendrapara,Orissa,1440361,10.63,1007,85.15,0.353
345,Uttara Kannada,Karnataka,1437169,6.17,979,84.06,0.339
346,Kanshiram Nagar,Uttar Pradesh,1436719,16.93,880,61.02,0.248
347,Tonk,Rajasthan,1421326,17.3,952,61.58,0.251
348,Bastar,Chhattisgarh,1413199,17.96,1023,54.4,0.217
349,Jhalawar,Rajasthan,1411129,19.55,946,61.5,0.254
350,Gandhinagar,Gujarat,1391753,4.29,923,84.16,0.334
351,Koppal,Karnataka,1389920,16.21,986,68.09,0.279
352,Dungarpur,Rajasthan,1388552,25.36,994,59.46,0.255
353,Bathinda,Punjab,1388525,17.34,868,68.28,0.282
354,Barwani,Madhya Pradesh,1385881,27.57,982,49.08,0.209
355,Koraput,Orissa,1379647,16.86,1032,49.21,0.188
356,Auraiya,Uttar Pradesh,1379545,16.91,864,78.95,0.333
357,Seoni,Madhya Pradesh,1379131,18.22,982,72.12,0.302
358,Munger,Bihar,1367765,20.21,876,70.46,0.298
359,Ramanathapuram,Tamil Nadu,1353445,13.96,983,80.72,0.335
360,Patan,Gujarat,1343734,13.61,935,72.3,0.293
361,Mandsaur,Madhya Pradesh,1340411,13.24,963,71.78,0.289
362,Sivaganga,Tamil Nadu,1339101,15.9,1003,79.85,0.334
363,Sawai Madhopur,Rajasthan,1335551,19.56,897,65.39,0.271
364,Jind,Haryana,1334152,12.13,871,71.44,0.285
365,Raisen,Madhya Pradesh,1331597,18.35,901,72.98,0.305
366,Navsari,Gujarat,1329672,8.15,961,83.88,0.338
367,Tinsukia,Assam,1327929,15.47,952,69.66,0.283
368,Dibrugarh,Assam,1326335,11.92,961,76.05,0.307
369,Garhwa,Jharkhand,1322784,27.75,935,60.33,0.262
370,Gondiya,Maharashtra,1322507,10.14,999,84.95,0.347
371,Dumka,Jharkhand,1321442,19.42,977,61.02,0.249
372,Godda,Jharkhand,1313551,25.35,938,56.4,0.238
373,Sehore,Madhya Pradesh,1311332,21.54,918,70.06,0.296
374,East Nimar,Madhya Pradesh,1310061,21.5,943,66.39,0.278
375,Kasaragod,Kerala,1307375,8.58,1080,90.09,0.368
376,Baghpat,Uttar Pradesh,1303048,11.95,861,72.01,0.287
377,Wardha,Maharashtra,1300774,5.18,946,86.99,0.346
378,Sirsa,Haryana,1295189,15.99,897,68.82,0.279
379,Katni,Madhya Pradesh,1292042,21.41,952,71.98,0.305
380,Anugul,Orissa,1273821,11.74,943,77.53,0.312
381,Thiruvarur,Tamil Nadu,1264277,8.11,1017,82.86,0.33
382,Damoh,Madhya Pradesh,1264219,16.63,910,69.73,0.283
383,Chikkaballapura,Karnataka,1255104,9.23,972,69.76,0.269
384,Kamrup Metropolitan,Assam,1253938,18.34,936,88.71,0.379
385,Theni,Tamil Nadu,1245899,13.89,991,77.26,0.314
386,Guna,Madhya Pradesh,1241519,26.97,912,63.23,0.271
387,Hoshangabad,Madhya Pradesh,1241350,14.49,914,75.29,0.305
388,Srinagar,Jammu and Kashmir,1236829,20.35,900,69.41,0.288
389,Karimganj,Assam,1228686,21.9,963,78.22,0.334
390,Baran,Rajasthan,1222755,19.68,929,66.66,0.273
391,Lalitpur,Uttar Pradesh,1221592,24.94,906,63.52,0.268
392,Nabarangapur,Orissa,1220946,19.03,1019,46.43,0.173
393,Yamunanagar,Haryana,1214205,16.57,877,77.99,0.322
394,Korba,Chhattisgarh,1206640,19.25,969,72.37,0.299
395,Dhaulpur,Rajasthan,1206516,22.71,846,69.08,0.29
396,Panipat,Haryana,1205437,24.6,864,75.94,0.327
397,Bhandara,Maharashtra,1200334,5.65,982,83.76,0.328
398,Pathanamthitta,Kerala,1197412,-2.97,1132,96.55,0.373
399,Washim,Maharashtra,1197160,17.34,930,83.25,0.348
400,Dhenkanal,Orissa,1192811,11.8,947,78.76,0.315
401,Singrauli,Madhya Pradesh,1178273,28.05,920,60.41,0.257
402,Udupi,Karnataka,1177361,5.85,1094,86.24,0.339
403,Hingoli,Maharashtra,1177345,19.27,942,78.17,0.326
404,Yadgir,Karnataka,1174271,22.81,989,51.83,0.205
405,Rajsamand,Rajasthan,1156597,17.18,990,63.14,0.249
406,Sivasagar,Assam,1151050,9.44,954,80.41,0.317
407,Sahibganj,Jharkhand,1150567,24.01,952,52.04,0.208
408,Chikmagalur,Karnataka,1137961,-0.26,1008,79.25,0.292
409,Jagatsinghapur,Orissa,1136971,7.5,968,86.59,0.343
410,Ambala,Haryana,1128350,11.23,885,81.75,0.326
411,Sidhi,Madhya Pradesh,1127033,23.72,957,64.43,0.267
412,Jehanabad,Bihar,1125313,21.68,922,66.8,0.274
413,Tarn Taran,Punjab,1119627,19.23,900,67.81,0.274
414,Shrawasti,Uttar Pradesh,1117361,-5.02,881,46.74,0.124
415,Bundi,Rajasthan,1110906,15.4,925,61.52,0.236
416,Idukki,Kerala,1108974,-1.79,1006,91.99,0.35
417,Hamirpur,Uttar Pradesh,1104285,5.8,861,68.77,0.252
418,Jorhat,Assam,1092256,9.31,962,82.15,0.323
419,Narsimhapur,Madhya Pradesh,1091854,14.01,920,75.69,0.301
420,Mewat,Haryana,1089263,37.93,907,54.08,0.243
421,Ramanagara,Karnataka,1082636,5.05,976,69.22,0.252
422,Anantnag,Jammu and Kashmir,1078692,38.58,927,62.69,0.285
423,Kaithal,Haryana,1074304,13.55,881,69.15,0.268
424,Gadchiroli,Maharashtra,1072942,10.58,982,74.36,0.287
425,Golaghat,Assam,1066888,12.75,964,77.43,0.306
