Ranking,District,State,Population,Growth,Sex_Ratio,Literacy,Store_Score
522,Shahid Bhagat Singh Nagar,Punjab,612310,4.23,954,79.78,0.284
523,Nuapada,Orissa,610382,15.02,1021,57.35,0.197
524,Subarnapur,Orissa,610183,12.61,960,74.42,0.275
525,Fatehgarh Sahib,Punjab,600163,11.46,871,79.35,0.296
526,Simdega,Jharkhand,599578,16.58,997,67.99,0.251
527,Barnala,Punjab,595527,13.02,876,67.82,0.243
528,Narmada,Gujarat,590297,14.75,961,72.31,0.268
529,Porbandar,Gujarat,585449,9.06,950,75.78,0.273
530,Central Delhi,Delhi,582320,-9.91,892,85.14,0.282
531,Solan,Himachal Pradesh,580320,15.93,880,83.68,0.325
532,Jharsuguda,Orissa,579505,13.69,953,78.86,0.297
533,Gajapati,Orissa,577817,11.37,1043,53.49,0.169
534,Harda,Madhya Pradesh,570465,20.25,935,72.5,0.279
535,Perambalur,Tamil Nadu,565223,14.5,1003,74.32,0.276
536,Panchkula,Haryana,561293,19.83,873,81.88,0.323
537,Pulwama,Jammu and Kashmir,560440,27.0,912,63.48,0.248
538,Udhampur,Jammu and Kashmir,554985,20.78,870,68.49,0.26
539,Kodagu,Karnataka,554519,1.09,1019,82.61,0.29
540,Dantewada,Chhattisgarh,533638,12.08,1020,42.12,0.114
541,Khunti,Jharkhand,531885,22.32,997,63.86,0.24
542,Sirmaur,Himachal Pradesh,529855,15.54,918,78.8,0.299
543,Una,Himachal Pradesh,521173,16.26,976,86.53,0.337
544,Chamba,Himachal Pradesh,519080,12.63,986,72.17,0.26
545,Imphal West,Manipur,517992,16.56,1031,86.08,0.336
546,Pithoragarh,Uttarakhand,483439,4.58,1020,82.25,0.292
547,Chirang,Assam,482162,11.34,969,63.55,0.215
548,Senapati,Manipur,479148,68.94,937,63.6,0.328
549,Punch,Jammu and Kashmir,476835,27.97,893,66.74,0.263
550,Lohardaga,Jharkhand,461790,26.68,985,67.61,0.264
551,Imphal East,Manipur,456113,15.51,1017,81.95,0.311
552,Hamirpur,Himachal Pradesh,454768,10.19,1095,88.15,0.331
553,Baudh,Orissa,441162,18.16,991,71.61,0.266
554,Kullu,Himachal Pradesh,437903,14.76,942,79.4,0.297
555,Kulgam,Jammu and Kashmir,424483,7.73,951,59.23,0.185
556,Thoubal,Manipur,422168,15.94,1002,74.47,0.275
557,Doda,Jammu and Kashmir,409936,28.0,919,64.68,0.25
558,Aizawl,Mizoram,400309,22.92,1009,97.89,0.401
559,Jaintia Hills,Meghalaya,395124,32.1,1013,61.64,0.243
560,Bandipora,Jammu and Kashmir,392232,28.65,889,56.28,0.21
561,Chamoli,Uttarakhand,391605,5.74,1019,82.65,0.293
562,West Khasi Hills,Meghalaya,383461,29.53,980,77.87,0.316
